,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name,company,country
0,18.0,8,307.0,130.0,3504,12.0,70,1,chevrolet chevelle malibu,chevrolet,America
1,15.0,8,350.0,165.0,3693,11.5,70,1,buick skylark 320,buick,America
2,18.0,8,318.0,150.0,3436,11.0,70,1,plymouth satellite,plymouth,America
3,16.0,8,304.0,150.0,3433,12.0,70,1,amc rebel sst,amc,America
4,17.0,8,302.0,140.0,3449,10.5,70,1,ford torino,ford,America
5,15.0,8,429.0,198.0,4341,10.0,70,1,ford galaxie 500,ford,America
6,14.0,8,454.0,200.0,4354,9.0,70,1,chevrolet impala,chevrolet,America
7,14.0,8,440.0,200.0,4312,8.8,70,1,plymouth fury iii,plymouth,America
8,14.0,8,455.0,200.0,4425,10.0,70,1,pontiac catalina,pontiac,America
9,15.0,8,390.0,190.0,3850,8.8,70,1,amc ambassador dpl,amc,America
10,15.0,8,383.0,170.0,3563,10.0,70,1,dodge challenger se,dodge,America
11,14.0,8,340.0,160.0,3609,8.8,70,1,plymouth 'cuda 340,plymouth,America
12,15.0,8,400.0,150.0,3761,9.5,70,1,chevrolet monte carlo,chevrolet,America
13,14.0,8,455.0,200.0,3086,10.0,70,1,buick estate wagon (sw),buick,America
14,24.0,4,113.0,95.0,2372,15.0,70,3,toyota corona mark ii,toyota,Japan
15,22.0,6,198.0,95.0,2833,15.5,70,1,plymouth duster,plymouth,America
16,18.0,6,199.0,97.0,2774,15.5,70,1,amc hornet,amc,America
17,21.0,6,200.0,85.0,2587,16.0,70,1,ford maverick,ford,America
18,27.0,4,97.0,88.0,2130,14.5,70,3,datsun pl510,datsun,Japan
19,26.0,4,97.0,46.0,1835,20.5,70,2,volkswagen 1131 deluxe sedan,volkswagen,Europe
20,25.0,4,110.0,87.0,2672,17.5,70,2,peugeot 504,peugeot,Europe
21,24.0,4,107.0,90.0,2430,14.5,70,2,audi 100 ls,audi,Europe
22,25.0,4,104.0,95.0,2375,17.5,70,2,saab 99e,saab,Europe
23,26.0,4,121.0,113.0,2234,12.5,70,2,bmw 2002,bmw,Europe
24,21.0,6,199.0,90.0,2648,15.0,70,1,amc gremlin,amc,America
25,10.0,8,360.0,200.0,4615,14.0,70,1,ford f250,ford,America
26,10.0,8,307.0,200.0,4376,15.0,70,1,chevy c20,chevy,America
27,11.0,8,318.0,200.0,4382,13.5,70,1,dodge d200,dodge,America
28,9.0,8,304.0,193.0,4732,18.5,70,1,hi 1200d,hi,America
29,27.0,4,97.0,88.0,2130,14.5,71,3,datsun pl510,datsun,Japan
30,28.0,4,140.0,90.0,2264,15.5,71,1,chevrolet vega 2300,chevrolet,America
31,25.0,4,113.0,95.0,2228,14.0,71,3,toyota corona,toyota,Japan
32,25.0,4,98.0,77.58333333333333,2046,19.0,71,1,ford pinto,ford,America
33,19.0,6,232.0,100.0,2634,13.0,71,1,amc gremlin,amc,America
34,16.0,6,225.0,105.0,3439,15.5,71,1,plymouth satellite custom,plymouth,America
35,17.0,6,250.0,100.0,3329,15.5,71,1,chevrolet chevelle malibu,chevrolet,America
36,19.0,6,250.0,88.0,3302,15.5,71,1,ford torino 500,ford,America
37,18.0,6,232.0,100.0,3288,15.5,71,1,amc matador,amc,America
38,14.0,8,350.0,165.0,4209,12.0,71,1,chevrolet impala,chevrolet,America
39,14.0,8,400.0,175.0,4464,11.5,71,1,pontiac catalina brougham,pontiac,America
40,14.0,8,351.0,153.0,4154,13.5,71,1,ford galaxie 500,ford,America
41,14.0,8,318.0,150.0,4096,13.0,71,1,plymouth fury iii,plymouth,America
42,12.0,8,383.0,180.0,4955,11.5,71,1,dodge monaco (sw),dodge,America
43,13.0,8,400.0,170.0,4746,12.0,71,1,ford country squire (sw),ford,America
44,13.0,8,400.0,175.0,5140,12.0,71,1,pontiac safari (sw),pontiac,America
45,18.0,6,258.0,110.0,2962,13.5,71,1,amc hornet sportabout (sw),amc,America
46,22.0,4,140.0,72.0,2408,19.0,71,1,chevrolet vega (sw),chevrolet,America
47,19.0,6,250.0,100.0,3282,15.0,71,1,pontiac firebird,pontiac,America
48,18.0,6,250.0,88.0,3139,14.5,71,1,ford mustang,ford,America
49,23.0,4,122.0,86.0,2220,14.0,71,1,mercury capri 2000,mercury,America
50,28.0,4,116.0,90.0,2123,14.0,71,2,opel 1900,opel,Europe
51,30.0,4,79.0,70.0,2074,19.5,71,2,peugeot 304,peugeot,Europe
52,30.0,4,88.0,76.0,2065,14.5,71,2,fiat 124b,fiat,Europe
53,31.0,4,71.0,65.0,1773,19.0,71,3,toyota corolla 1200,toyota,Japan
54,35.0,4,72.0,69.0,1613,18.0,71,3,datsun 1200,datsun,Japan
55,27.0,4,97.0,60.0,1834,19.0,71,2,volkswagen model 111,volkswagen,Europe
56,26.0,4,91.0,70.0,1955,20.5,71,1,plymouth cricket,plymouth,America
57,24.0,4,113.0,95.0,2278,15.5,72,3,toyota corona hardtop,toyota,Japan
58,25.0,4,97.5,80.0,2126,17.0,72,1,dodge colt hardtop,dodge,America
59,23.0,4,97.0,54.0,2254,22.2,72,2,volkswagen type 3,volkswagen,Europe
60,20.0,4,140.0,90.0,2408,19.5,72,1,chevrolet vega,chevrolet,America
61,21.0,4,122.0,86.0,2226,16.5,72,1,ford pinto runabout,ford,America
62,13.0,8,350.0,165.0,4274,12.0,72,1,chevrolet impala,chevrolet,America
63,14.0,8,400.0,175.0,4385,12.0,72,1,pontiac catalina,pontiac,America
64,15.0,8,318.0,150.0,4135,13.5,72,1,plymouth fury iii,plymouth,America
65,14.0,8,351.0,153.0,4129,13.0,72,1,ford galaxie 500,ford,America
66,17.0,8,304.0,150.0,3672,11.5,72,1,amc ambassador sst,amc,America
67,11.0,8,429.0,200.0,4633,11.0,72,1,mercury marquis,mercury,America
68,13.0,8,350.0,155.0,4502,13.5,72,1,buick lesabre custom,buick,America
69,12.0,8,350.0,160.0,4456,13.5,72,1,oldsmobile delta 88 royale,oldsmobile,America
